Producto,Precio,Descripción,Foto
Septenario,$1.000,"Septenario del Espíritu Santo para confirmación, incluye bolsa de organza e impresión de tarjeta de recuerdo",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4480.JPG
Recuerdo de Confirmación,$1.500,"Recuerdo de Confirmación, incluye bolsa de organza e impresión. Variedad de figuras disponibles",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4483.JPG
