Producto,Precio,Descripción,Foto
Rosario Niña,$5.000,"Rosario de paño lenci, de mediano a gran tamaño. Disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4421.JPG
Rosario Niño,$5.000,"Rosario de paño lenci, de mediano a gran tamaño. Disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4424.JPG
Denario Madera,$800,Denario pequeño de madera. Disponible en diferentes colores,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4462.JPG
