Producto,Precio,Descripción,Foto
Florencia,$9.000,"Linda muñeca con estilo country de mediano tamaño, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4397.JPG
Pesebre Navidad,$18.000,"Pesebre que incluye a María, José, el niño Jesús, vaca y burro. Ideal para niños. De tamaño mediano",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4407.JPG
León,$2.000,"León de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4448.JPG
Hipopótamo Bailarina,$2.000,"Hipopótamo bailarina de ballet de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4435.JPG
Rosario Niño,$5.000,"Rosario de paño lenci, de mediano a gran tamaño. Disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4424.JPG
Colegiala,$15.000,Ejemplo de muñeca personalizada colegiala. Variedad de pelos disponible,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4430.JPG
