Producto,Precio,Descripción,Foto
Conjunto,$5.000,"Conjunto collar y pulsera, diferente variedades disponibles",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4451.JPG
Pulsera,$2.500,"Pulsera, diferentes variedades disponibles",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4455.JPG
Strap,$4.000,"Strap para anteojos, diferentes combinaciones disponibles",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4457.JPG
Pulsera,$3.000,"Pulsera con cruz, diferentes variedades",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4458.JPG
