Producto,Precio,Descripción,Foto
Rosario Niña,$5.000,"Rosario de paño lenci, de mediano a gran tamaño. Disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4421.JPG
Rosario Niño,$5.000,"Rosario de paño lenci, de mediano a gran tamaño. Disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4424.JPG
Denario Madera,$800,Denario pequeño de madera. Disponible en diferentes colores,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4462.JPG
Bebé,$2.000,"Bebé de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6946.jpg
Osito de peluche,$2.000,"Osito de peluche de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6929.jpg
Bebé en taza,$2.000,"Bebé en taza de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6950.jpg
Caballo de juguete,$2.000,"Caballito de juguete de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6930.jpg
Bebé,$2.000,"Bebé de llavero, disponible en diferentes colores",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6955.jpg
