Producto,Precio,Descripción,Foto
Ángeles,$3.000,Ángelitos decorativos para tu ambiente navideño. Disponible en 3 combinaciones de colores.,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6760.JPG
Angelitos,$1.000,Personaliza tu árbol de navidad con estos angelitos en miniatura. Disponibles en tres colores.,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6759.JPG
Duendes Navideños,$8.000,"Duendes navideños, mujer o hombre, disponibles en otras combinaciones navideñas. De tamaño grande",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4432.JPG
Pesebre,$18.000,"Pesebre que incluye a María, José, el niño Jesús, vaca y burro. Ideal para niños. De tamaño mediano",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6758.JPG
Reno Navideño,$2.000,Reno navideño de llavero,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_6948.jpg
