Producto,Precio,Descripción,Foto
Foca,$3.000,"Molde de foca miniatura, adaptable",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4489.JPG
Perro Salchicha,$3.000,"Molde de perro salchicha miniatura, adaptable",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4490.JPG
Jirafa,$3.000,"Molde de Jirafa miniatura, adaptable",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4491.JPG
Oso Hormiguero,$3.000,"Molde de oso hormiguero miniatura, adaptable",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4494.JPG
