Producto,Precio,Descripción,Foto
Virgen María,$9.000,Virgen María sosteniendo al niño Jesús. De tamaño mediano,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4402.JPG
Pesebre Navidad,$18.000,"Pesebre que incluye a María, José, el niño Jesús, vaca y burro. Ideal para niños. De tamaño mediano",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4407.JPG
Duendes Navideños,$8.000,"Duendes navideños, mujer o hombre, disponibles en otras combinaciones navideñas. De tamaño grande",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4432.JPG
