Producto,Precio,Descripción,Foto
Florencia,$9.000,"Linda muñeca con estilo country de mediano tamaño, disponible en diferentes colores.",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4397.JPG
Alfiletero angelita,$6.000,"Alfiletero de angelita, de tamaño pequeño. Disponible en diferentes colores.",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4450.JPG
Caballo Travieso,$15.000,"Caballito de micropolar, disponible en diferentes colores. 40 cm aproximadamente.",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_5738.JPG
Pareja de Caballos,$25.000,"Pareja de caballitos de micropolar, disponibles en diferentes colores. 40 cm aproximadamente.",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_5740.JPG
Coneja Coqueta,$12.000,"Coneja con vestido, confeccionada en crea cruda. Disponible en diferentes colores. Mide 30 cm aproximadamente.",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4335.jpeg
Caballita Romántica,$15.000,Caballita con tutú. Disponible en diferentes colores. Mide 30 cm aproximadamente.,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4348.jpeg
Muñeca Pepa,$12.000,Linda muñequita confeccionada en crea cruda. Disponible en diferentes variedades de combinaciones. Mide 28 cm aproximadamente.,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_5745.JPG
Coneja Bailarina,$18.000,"Conejita bailarina, ideal como regalo de una pequeña bailatina de ballet. 40 cm aproximadamente.",https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4689.JPG
Perrita Orejona,$10.000,Linda perrita de amigurumi. Mide aproximadamente 25 cm.,https://raw.githubusercontent.com/auguslatorre/diepuppe/master/Img/IMG_4685.jpg
